,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,pbr_rank,회사명,magic,magic_rank,final_rank
0,엔케이,500,828,79983,1.64,673643,-3.3,-25.29,1085,1458,561,-65,0.02,71.83,1085,1458,561,-65.0,0.02,71.83,2.0,엔케이,0.1267149607666169,1104.0,1106.0
1,JW홀딩스,500,3662,66452,5.17,296172,-13.34,-20.18,7264,12435,8918,27,0.14,-91.79,7264,12435,8918,27.0,0.14,-91.79,8.0,JW홀딩스,0.8137571316742807,93.0,101.0
2,원림,5000,387,2200,1.11,27251,28.85,3.33,791,1631,468,42,0.14,111.58,791,1631,468,42.0,0.14,111.58,8.0,원림,0.13925016315944722,1068.0,1076.0
3,삼천리,5000,2709,4055,18.17,6311,18.96,2.98,34616,39124,25194,856,0.16,1.95,34616,39124,25194,856.0,0.16,1.95,11.0,삼천리,0.2603440246945573,688.0,699.0
4,웹스,500,225,13698,1.86,61473,45.56,-0.58,285,686,297,4,0.16,10.89,285,686,297,4.0,0.16,10.89,11.0,웹스,0.16968104513511523,977.0,988.0
5,동화약품,1000,4469,27931,4.72,779952,45.45,3.15,3072,3760,752,99,0.18,-11.65,3072,3760,752,99.0,0.18,-11.65,12.0,동화약품,0.4045928551679975,382.0,394.0
6,동국알앤에스,1000,411,18400,2.46,55651,15.31,2.99,1018,1256,466,36,0.21,-37.29,1018,1256,466,36.0,0.21,-37.29,13.0,동국알앤에스,0.2168674555826664,838.0,851.0
7,메디톡스,500,8040,5977,18.42,569384,120.63,10.24,2059,4215,1588,257,0.22,-69.95,2059,4215,1588,257.0,0.22,-69.95,14.0,메디톡스,0.5191485927430785,250.0,264.0
8,대상,1000,9268,34648,16.93,287807,7.03,11.17,29640,23971,13749,1298,0.24,8.03,29640,23971,13749,1298.0,0.24,8.03,17.0,대상,0.7380462852747753,120.0,137.0
9,진성티이씨,500,1729,22482,1.89,398844,8.31,16.91,3556,2755,1359,299,0.25,6.96,3556,2755,1359,299.0,0.25,6.96,20.0,진성티이씨,0.44880121260229205,321.0,341.0
10,파인디앤씨,500,457,26360,0.65,185900,-21.96,-8.43,775,1036,583,-4,0.25,-120.81,775,1036,583,-4.0,0.25,-120.81,20.0,파인디앤씨,0.17699264717248964,959.0,979.0
11,벽산,500,1210,68560,5.74,426591,-28.02,-1.18,4335,4627,1712,-38,0.26,-138.57,4335,4627,1712,-38.0,0.26,-138.57,21.0,벽산,0.21538619055181368,842.0,863.0
12,DRB동일,500,1313,19930,1.84,851162,14.45,2.54,5470,7453,2838,265,0.29,-2.11,5470,7453,2838,265.0,0.29,-2.11,23.0,DRB동일,0.25830532637734066,696.0,719.0
13,대주산업,500,418,35392,4.36,500186,23.6,3.51,843,871,350,27,0.29,-19.49,843,871,350,27.0,0.29,-19.49,23.0,대주산업,0.23983381601274795,749.0,772.0
14,아시아나IDT,500,1782,11100,0.55,126490,-21.37,-5.44,2461,2286,872,114,0.32,-28.01,2461,2286,872,114.0,0.32,-28.01,25.0,아시아나IDT,0.16816628163767647,983.0,1008.0
15,에이스테크,500,4221,40778,1.53,3349948,-15.52,-11.08,3786,3805,2914,27,0.34,-79.38,3786,3805,2914,27.0,0.34,-79.38,27.0,에이스테크,1.0023234533309129,50.0,77.0
16,한전KPS,200,13478,45000,16.57,111452,8.39,14.98,12469,13594,2960,1939,0.36,1.26,12469,13594,2960,1939.0,0.36,1.26,28.0,한전KPS,0.2586255035928571,695.0,723.0
17,한라,5000,1151,38875,2.75,109203,13.52,0.97,13049,15882,13271,677,0.4,13.06,13049,15882,13271,677.0,0.4,13.06,30.0,한라,0.6604139619333287,148.0,178.0
18,유진기업,500,2938,77311,7.48,451379,9.9,2.61,14578,45279,37365,1280,0.46,-2.18,14578,45279,37365,1280.0,0.46,-2.18,33.0,유진기업,0.3439557469976601,489.0,522.0
19,대성에너지,1000,1316,27500,2.14,13243,12.86,4.28,7749,6972,3907,243,0.5,52.07,7749,6972,3907,243.0,0.5,52.07,37.0,대성에너지,0.3733709707638999,425.0,462.0
20,제이스텍,500,1318,14598,1.78,55862,41.23,1.21,1269,1528,232,4,0.53,-93.63,1269,1528,232,4.0,0.53,-93.63,39.0,제이스텍,0.13568488305262888,1080.0,1119.0
21,나노캠텍,500,450,25705,4.31,169848,-2.5,-26.27,475,725,133,83,0.54,50.41,475,725,133,83.0,0.54,50.41,40.0,나노캠텍,0.2772547782627728,641.0,681.0
22,한국공항,5000,1115,3166,6.56,9145,53.09,5.07,5290,4647,1417,220,0.55,-10.75,5290,4647,1417,220.0,0.55,-10.75,42.0,한국공항,0.14448762844711907,1052.0,1094.0
23,DB,500,1410,201174,2.81,657585,20.03,2.53,2385,3632,1522,185,0.59,1040.94,2385,3632,1522,185.0,0.59,1040.94,43.0,DB,0.26593303152771125,672.0,715.0
24,크리스에프앤씨,1000,2408,11715,0.13,8142,11.56,11.77,2595,2773,603,377,0.61,-13.51,2595,2773,603,377.0,0.61,-13.51,44.0,크리스에프앤씨,0.7913690633166495,103.0,147.0
