,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,date,부채비율
2476,지와이커머스,500,603,24470,2.73,0,0.35,-210.7,42,251,247,-23,-68.62,49.28,42,251,247,-23.0,-68.62,49.28,2020-08-04,0.9840637450199203
2719,골든센츄리,0,379,158780,36.39,636818,1.39,11.22,1131,2319,156,295,28.13,17.78,1131,2319,156,295.0,28.13,17.78,2020-08-04,0.06727037516170763
2274,GRT,0,856,67375,68.49,170452,1.45,15.94,3680,5798,727,774,20.49,20.91,3680,5798,727,774.0,20.49,20.91,2020-08-04,0.12538806484994824
616,사조대림,5000,1306,9164,1.19,11419,1.46,30.57,13297,10709,6470,496,41.89,36.71,13297,10709,6470,496.0,41.89,36.71,2020-08-04,0.6041647212624895
1967,KG ETS,500,1546,36000,3.22,756512,1.62,49.82,1609,4332,1908,159,30.01,16.4,1609,4332,1908,159.0,30.01,16.4,2020-08-04,0.4404432132963989
2543,푸드웰,500,536,10000,1.8,27015,1.76,50.19,1439,1495,666,86,16.28,14.97,1439,1495,666,86.0,16.28,14.97,2020-08-04,0.4454849498327759
1007,동원금속,500,313,46755,1.96,112459,1.91,31.69,4566,5110,4472,201,-0.42,248.98,4566,5110,4472,201.0,-0.42,248.98,2020-08-04,0.875146771037182
2539,헝셩그룹,0,542,80000,29.98,350845,1.92,12.56,2212,3366,588,439,10.38,27.13,2212,3366,588,439.0,10.38,27.13,2020-08-04,0.1746880570409982
2264,모베이스,500,874,23958,2.64,2303194,2.11,18.69,6525,9915,6478,320,73.86,38.6,6525,9915,6478,320.0,73.86,38.6,2020-08-04,0.6533535047907212
471,KG케미칼,5000,2108,13013,5.27,1532421,2.12,32.69,20684,41515,28000,1180,61.24,62.8,20684,41515,28000,1180.0,61.24,62.8,2020-08-04,0.6744550162591835
134,HDC현대산업개발,5000,14796,65907,10.24,2615929,2.64,20.3,42165,44096,21778,5515,50.98,73.46,42165,44096,21778,5515.0,50.98,73.46,2020-08-04,0.49387699564586357
184,JB금융지주,5000,9130,196983,39.03,191955,2.64,10.36,24084,475296,437098,4849,-1.66,16.36,24084,475296,437098,4849.0,-1.66,16.36,2020-08-04,0.9196332390762809
2453,유성티엔에스,500,619,27214,0.49,209947,2.65,11.61,3581,3972,1927,74,-8.88,33.33,3581,3972,1927,74.0,-8.88,33.33,2020-08-04,0.4851460221550856
808,대유플러스,500,711,113244,2.08,488239,2.67,16.75,5300,10900,9217,396,5.29,8.91,5300,10900,9217,396.0,5.29,8.91,2020-08-04,0.8455963302752294
242,HDC,5000,6333,59742,21.82,1872473,2.7,12.58,16167,42090,18504,1281,4.45,34.26,16167,42090,18504,1281.0,4.45,34.26,2020-08-04,0.43962936564504634
1072,에이리츠,5000,245,3793,0.08,5417,2.7,25.42,609,921,602,111,167.38,1832.7,609,921,602,111.0,167.38,1832.7,2020-08-04,0.6536373507057546
984,이스타코,500,341,42852,1.24,573648,2.83,25.52,238,789,300,39,361.14,1139.09,238,789,300,39.0,361.14,1139.09,2020-08-04,0.38022813688212925
187,DGB금융지주,5000,8931,169146,44.06,1117112,2.86,7.31,49550,723977,669694,4322,19.18,29.63,49550,723977,669694,4322.0,19.18,29.63,2020-08-04,0.925021098736562
782,동양고속,5000,767,2896,2.21,3237,2.92,26.85,1405,1868,546,100,6.2,119.26,1405,1868,546,100.0,6.2,119.26,2020-08-04,0.29229122055674517
907,미래아이앤지,100,491,129484,2.9,278135,3.01,22.51,75,723,27,1,16.0,109.65,75,723,27,1.0,16.0,109.65,2020-08-04,0.03734439834024896
191,SK가스,5000,8344,9230,7.1,38276,3.2,9.85,49311,40824,24216,1896,-28.11,84.06,49311,40824,24216,1896.0,-28.11,84.06,2020-08-04,0.5931804820693709
123,BNK금융지주,5000,16818,325935,47.08,1067873,3.22,7.07,52795,1045388,953576,8069,3.55,7.61,52795,1045388,953576,8069.0,3.55,7.61,2020-08-04,0.9121742357861388
161,메리츠금융지주,500,12007,134011,7.74,193458,3.25,15.26,223151,617641,558022,9623,29.59,19.93,223151,617641,558022,9623.0,29.59,19.93,2020-08-04,0.9034730531166163
