일시,시간,시가,고가,저가,종가,거래량,1봉변동성
2022-08-30,14:23:00,318.9,319.05,318.9,318.95,1999,
2022-08-30,14:06:00,319.2,319.25,318.85,318.9,6618,
2022-08-30,13:49:00,319.2,319.4,319.05,319.25,5076,
2022-08-30,13:32:00,318.75,319.3,318.7,319.25,9816,
2022-08-30,13:15:00,318.75,318.9,318.6,318.75,4842,
2022-08-30,12:58:00,318.5,318.75,318.4,318.75,7846,
2022-08-30,12:41:00,318,318.5,317.85,318.5,9385,
2022-08-30,12:24:00,317.75,318.1,317.7,318,4280,
2022-08-30,12:07:00,317.8,317.95,317.7,317.8,4520,
2022-08-30,11:50:00,317.5,317.85,317.45,317.75,4200,
2022-08-30,11:33:00,317.35,317.7,317.15,317.5,5016,
2022-08-30,11:16:00,317.3,317.65,317.15,317.35,7598,
2022-08-30,10:59:00,317.65,317.75,316.95,317.3,14450,
2022-08-30,10:42:00,318.25,318.25,317.6,317.6,8130,
2022-08-30,10:25:00,318.2,318.3,317.85,318.25,10066,
2022-08-30,10:08:00,317.85,318.2,317.7,318.2,10792,
2022-08-30,9:51:00,317.25,317.85,317.05,317.85,11083,
2022-08-30,9:34:00,317.95,317.95,317.2,317.25,16022,
2022-08-30,9:17:00,317.5,318.5,317.25,318,32302,1.25
2022-08-29,15:45:00,316.05,316.15,315.7,315.7,11545,
2022-08-29,15:31:00,316.15,316.3,316,316.1,9028,
2022-08-29,15:14:00,316,316.45,315.95,316.15,7435,
2022-08-29,14:57:00,316.4,316.45,315.95,316,7675,
2022-08-29,14:40:00,316.7,316.75,316.25,316.4,5313,
2022-08-29,14:23:00,316.55,316.75,316.3,316.65,6262,
2022-08-29,14:06:00,316.1,316.7,316,316.6,7948,
2022-08-29,13:49:00,316,316.1,315.85,316.1,3411,
2022-08-29,13:32:00,316,316.1,315.8,316,4011,
2022-08-29,13:15:00,315.9,316.3,315.9,316,5075,
2022-08-29,12:58:00,315.8,315.9,315.65,315.9,3639,
2022-08-29,12:41:00,315.85,316,315.7,315.8,3816,
2022-08-29,12:24:00,315.9,316.05,315.85,315.85,3767,
2022-08-29,12:07:00,316.2,316.2,315.8,315.85,5559,
2022-08-29,11:50:00,316.25,316.55,316.2,316.2,5206,
2022-08-29,11:33:00,316.3,316.4,316,316.3,5199,
2022-08-29,11:16:00,316.05,316.4,316,316.3,5811,
2022-08-29,10:59:00,315.9,316.15,315.7,316.1,7370,
2022-08-29,10:42:00,315.55,316.05,315.45,315.95,10196,
2022-08-29,10:25:00,316.3,316.55,315.35,315.55,15779,
2022-08-29,10:08:00,316,316.4,315.65,316.3,13514,
2022-08-29,9:51:00,315.7,316.35,315.7,316,13588,
2022-08-29,9:34:00,316.15,316.5,315.55,315.75,22344,
2022-08-29,9:17:00,315.9,317.25,315.6,316.15,46745,1.65
2022-08-26,15:45:00,324,324.5,323.9,324.5,7833,
2022-08-26,15:31:00,323.85,324.05,323.8,324,7366,
2022-08-26,15:14:00,323.85,324.1,323.7,323.9,8234,
2022-08-26,14:57:00,323.55,323.9,323.55,323.85,7253,
2022-08-26,14:40:00,324.2,324.4,323.55,323.55,7966,
2022-08-26,14:23:00,324.35,324.45,324.1,324.2,6497,
2022-08-26,14:06:00,324.4,324.45,324.15,324.4,5929,
2022-08-26,13:49:00,324.3,324.55,324.25,324.35,5247,
2022-08-26,13:32:00,324.95,325,324.3,324.3,8451,
2022-08-26,13:15:00,325.1,325.2,324.8,324.95,4390,
2022-08-26,12:58:00,325.4,325.4,325.05,325.1,3676,
2022-08-26,12:41:00,325,325.45,324.9,325.4,3956,
2022-08-26,12:24:00,324.85,325.15,324.85,325,2977,
2022-08-26,12:07:00,324.85,325.2,324.8,324.85,5011,
2022-08-26,11:50:00,325.3,325.4,324.85,324.9,5124,
2022-08-26,11:33:00,325.6,325.7,325.1,325.25,5176,
2022-08-26,11:16:00,325.65,325.7,325.3,325.65,4949,
2022-08-26,10:59:00,325.3,325.8,325.1,325.65,7186,
2022-08-26,10:42:00,325.7,325.85,325.05,325.35,13803,
2022-08-26,10:25:00,326.1,326.2,325.6,325.7,9851,
2022-08-26,10:08:00,326.3,326.5,326.05,326.1,10115,
2022-08-26,9:51:00,325.4,326.35,325.35,326.35,13247,
2022-08-26,9:34:00,324.95,325.85,324.9,325.35,16024,
2022-08-26,9:17:00,325,325.65,324.65,324.95,33782,1
2022-08-25,15:45:00,323.85,323.9,323.6,323.85,10042,
2022-08-25,15:31:00,323.1,323.85,323.05,323.8,17679,
2022-08-25,15:14:00,322.55,323.15,322.55,323.1,10752,
2022-08-25,14:57:00,322.75,322.8,322.5,322.5,5173,
2022-08-25,14:40:00,322.6,322.85,322.5,322.7,8523,
2022-08-25,14:23:00,323.05,323.1,322.6,322.65,7249,
2022-08-25,14:06:00,323,323.25,322.95,323.05,6819,
2022-08-25,13:49:00,322.9,323.05,322.85,323,5005,
2022-08-25,13:32:00,322.9,322.9,322.6,322.85,4096,
2022-08-25,13:15:00,322.9,323.05,322.8,322.9,4010,
2022-08-25,12:58:00,322.8,322.95,322.65,322.85,4494,
2022-08-25,12:41:00,322.8,323.05,322.65,322.75,5399,
2022-08-25,12:24:00,322.3,322.9,322.3,322.8,6660,
2022-08-25,12:07:00,322.55,322.65,322.25,322.3,5077,
2022-08-25,11:50:00,322.45,322.7,322.45,322.55,3325,
2022-08-25,11:33:00,322.55,322.8,322.5,322.5,5693,
2022-08-25,11:16:00,322.65,322.75,322.45,322.55,6958,
2022-08-25,10:59:00,322.55,323.05,322.55,322.65,11518,
2022-08-25,10:42:00,321.95,322.6,321.95,322.55,13625,
2022-08-25,10:25:00,321.65,322.2,321.55,321.95,8769,
2022-08-25,10:08:00,321.55,322.05,321.55,321.65,14632,
2022-08-25,9:51:00,321.2,321.65,321.1,321.55,10259,
2022-08-25,9:34:00,321.15,321.7,320.9,321.15,14551,
2022-08-25,9:17:00,321.05,321.75,320.7,321.15,28311,1.05
2022-08-24,15:45:00,319.7,319.9,319.6,319.6,7829,
2022-08-24,15:31:00,319.95,320.1,319.65,319.7,8414,
2022-08-24,15:14:00,320.05,320.25,319.8,319.95,7307,
2022-08-24,14:57:00,320.1,320.35,319.95,320.05,7234,
2022-08-24,14:40:00,319.9,320.15,319.65,320.1,5668,
2022-08-24,14:23:00,319.85,320.05,319.75,319.9,4779,
2022-08-24,14:06:00,319.8,320.15,319.75,319.85,10462,
2022-08-24,13:49:00,319.4,319.8,319.2,319.8,5960,
2022-08-24,13:32:00,318.75,319.55,318.7,319.4,6702,
2022-08-24,13:15:00,319.2,319.25,318.6,318.7,5299,
2022-08-24,12:58:00,319.15,319.3,319,319.25,2967,
2022-08-24,12:41:00,318.85,319.3,318.8,319.15,6199,
2022-08-24,12:24:00,318.7,319,318.65,318.85,4546,
2022-08-24,12:07:00,318.55,318.7,318.4,318.7,4222,
2022-08-24,11:50:00,318.95,319.15,318.4,318.55,6749,
2022-08-24,11:33:00,318.9,319.3,318.65,318.95,6874,
2022-08-24,11:16:00,319,319.2,318.6,318.9,7969,
2022-08-24,10:59:00,319.35,319.45,318.5,318.95,15567,
2022-08-24,10:42:00,320.1,320.2,319.2,319.3,10761,
2022-08-24,10:25:00,319.95,320.3,319.85,320.05,7430,
