,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,date
0,삼성전자,100,3420685,5969783,55.94,19352362,18.28,8.69,2304009,3525645,896841,277685,-5.49,-52.84,2304009,3525645,896841,277685,-5.49,-52.84,2020-08-04
1,SK하이닉스,5000,594050,728002,48.15,2972801,38.11,4.25,269907,647895,168463,27127,-33.27,-86.99,269907,647895,168463,27127,-33.27,-86.99,2020-08-04
2,NAVER,100,510859,164263,55.54,1317129,80.30,10.56,65934,122995,57956,7101,18.02,-24.66,65934,122995,57956,7101,18.02,-24.66,2020-08-04
3,삼성바이오로직스,2500,486313,66165,10.17,107412,174.92,4.77,7016,59116,15572,917,30.94,64.77,7016,59116,15572,917,30.94,64.77,2020-08-04
4,LG화학,5000,453203,70592,37.28,889573,359.06,1.84,286250,340244,166406,8956,1.57,-60.12,286250,340244,166406,8956,1.57,-60.12,2020-08-04
5,삼성전자우,100,411443,822887,88.30,1800557,15.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-04
6,셀트리온,1000,407517,134939,21.18,878207,120.13,11.19,11285,38937,9867,3781,14.91,11.62,11285,38937,9867,3781,14.91,11.62,2020-08-04
7,카카오,500,325031,87846,33.26,1701178,-124.92,-5.81,30701,87373,29971,2068,27.02,183.47,30701,87373,29971,2068,27.02,183.47,2020-08-04
8,삼성SDI,5000,286060,68765,42.54,554359,98.65,2.94,100974,198521,71918,4622,10.26,-35.36,100974,198521,71918,4622,10.26,-35.36,2020-08-04
9,현대차,5000,283110,213668,33.82,2483347,14.04,4.32,1057464,1945122,1181465,36055,9.23,48.86,1057464,1945122,1181465,36055,9.23,48.86,2020-08-04
10,LG생활건강,5000,211470,15618,44.67,27179,30.55,20.32,76854,64937,22566,11764,13.90,13.20,76854,64937,22566,11764,13.90,13.20,2020-08-04
11,현대모비스,5000,197714,95055,44.56,370103,9.21,7.28,380488,466061,141964,23593,8.25,16.51,380488,466061,141964,23593,8.25,16.51,2020-08-04
12,삼성물산,100,196231,186887,14.51,315168,17.88,4.77,307615,459055,192134,8668,-1.27,-21.48,307615,459055,192134,8668,-1.27,-21.48,2020-08-04
13,엔씨소프트,500,185731,21954,50.14,122056,38.73,14.72,17012,33464,8342,4790,-0.81,-22.11,17012,33464,8342,4790,-0.81,-22.11,2020-08-04
14,SK텔레콤,500,182082,80746,34.61,773946,22.20,3.92,177437,446116,217881,11100,5.15,-7.64,177437,446116,217881,11100,5.15,-7.64,2020-08-04
15,POSCO,5000,169142,87187,52.49,226021,11.36,4.18,643668,790587,312640,38689,-0.94,-30.20,643668,790587,312640,38689,-0.94,-30.20,2020-08-04
16,기아차,5000,166807,405363,38.89,1991921,11.56,6.50,581460,553448,263667,20097,7.34,73.63,581460,553448,263667,20097,7.34,73.63,2020-08-04
17,SK,200,161477,70360,22.23,460273,234.42,4.31,992646,1320207,798380,39499,-0.90,-15.67,992646,1320207,798380,39499,-0.90,-15.67,2020-08-04
